eval_mnq,funded_mnq,target,joint_payout_rate,avg_lifecycle_days,median_days_when_paid,avg_payout_when_paid,mean_net_252,median_net_252,p10_net_252,profit_prob_252,ruin_prob_252,mean_payouts_252,mean_net_60,profit_prob_60,any_payout_60,mean_net_90,profit_prob_90,any_payout_90,mean_net_180,profit_prob_180,any_payout_180
8,7,500,0.1961367013372957,13.36961367013373,23.0,1043.2459397727225,1773.663151499985,1643.3567999999848,-978.0048000000053,0.7885,0.12583333333333332,3.262166666666667,266.2033538999972,0.528,0.5593333333333333,517.8763502999951,0.6208333333333333,0.7533333333333333,1242.8095580999893,0.7456666666666667,0.902
8,7,1000,0.18462109955423478,14.12407132243685,26,1255.209102615688,2073.205657799982,1982.680199999978,-990,0.8288333333333333,0.11216666666666666,2.903,298.516343099997,0.5025,0.503,598.0559201999945,0.6861666666666667,0.7008333333333333,1450.2909254999875,0.7918333333333333,0.8905
8,7,1500,0.1664190193164933,15.11627043090639,30.0,1582.7718214285628,2282.822888099981,2084.2019999999743,-990,0.811,0.13833333333333334,2.3641666666666667,282.58385699999764,0.3963333333333333,0.3963333333333333,617.3861483999948,0.6075,0.6075,1589.5726187999867,0.818,0.8421666666666666
8,7,2000,0.15341753343239228,16.173476968796432,34,1800.0,2188.2,2160.0,-990,0.8005,0.16083333333333333,1.9803333333333333,177.99,0.30983333333333335,0.30983333333333335,532.485,0.5211666666666667,0.5211666666666667,1504.695,0.7965,0.805
8,8,500,0.19093610698365526,13.236998514115898,23.0,1132.3619579766632,1974.2229600000294,1832.0256000000516,-990,0.8045,0.12583333333333332,3.1991666666666667,311.2899288000051,0.5305,0.551,605.8692432000091,0.6468333333333334,0.7446666666666667,1396.8991224000206,0.769,0.8965
8,8,1000,0.17979197622585438,13.739970282317978,24.0,1324.0760132231526,2221.603732800033,2137.406400000053,-990,0.8223333333333334,0.12166666666666667,2.8845,359.31072480000546,0.5141666666666667,0.5145,679.5088752000102,0.6963333333333334,0.7063333333333334,1560.6267504000232,0.788,0.8808333333333334
8,8,1500,0.16456166419019316,14.426448736998514,27,1599.3178293453884,2412.553082400037,2403.705600000013,-990,0.806,0.13783333333333334,2.4661666666666666,338.5391976000045,0.42816666666666664,0.42816666666666664,694.2624720000102,0.6283333333333333,0.6283333333333333,1676.3332536000257,0.8171666666666667,0.8451666666666666
8,8,2000,0.1474739970282318,15.225854383358097,29,1800.0,2205.795,2160.0,-990,0.7748333333333334,0.1755,2.0275,221.415,0.3415,0.3415,562.92,0.5418333333333333,0.5418333333333333,1520.115,0.7836666666666666,0.7958333333333333
8,10,500,0.1563893016344725,12.566864784546805,24,1189.060589073625,1496.6389079999756,1327.481999999952,-990,0.7165,0.2,2.6561666666666666,214.99386899999556,0.466,0.4891666666666667,439.644662999992,0.5855,0.6818333333333333,1065.3758519999824,0.6938333333333333,0.8445
8,10,1000,0.14338781575037146,12.888558692421991,24.0,1375.147772020714,1602.4450259999737,1478.7359999999633,-990,0.7225,0.19816666666666666,2.355,239.70268799999528,0.4553333333333333,0.4555,473.5682069999916,0.6205,0.6316666666666667,1134.4772339999813,0.6966666666666667,0.812
8,10,1500,0.13075780089153047,13.299777117384844,25.0,1592.5838011363492,1683.7691129999712,1525.3739999999516,-990,0.701,0.21483333333333332,2.0496666666666665,207.32336099999574,0.3855,0.3855,494.6169509999911,0.5816666666666667,0.5816666666666667,1191.0779969999796,0.7216666666666667,0.776
8,10,2000,0.12592867756315007,13.754829123328381,29,1800.0,1848.915,1800.0,-990,0.7106666666666667,0.22116666666666668,1.8795,203.775,0.34933333333333333,0.34933333333333333,523.14,0.5448333333333333,0.5448333333333333,1313.835,0.7445,0.764
